Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
D:\IMG\robocam_2018_09_19_18_49_51_962.jpg;15;0;0;1.465095;107.0973;91.04211;359.863;33.50418;0.8879797
D:\IMG\robocam_2018_09_19_18_49_52_042.jpg;15;0;0;1.4544;107.1881;91.11595;359.9494;35.37644;1.104971
D:\IMG\robocam_2018_09_19_18_49_52_124.jpg;15;0;0;1.444543;107.2763;91.19048;0.005727861;37.20945;1.164675
D:\IMG\robocam_2018_09_19_18_49_52_212.jpg;15;0;0;1.435414;107.3603;91.26643;359.9827;39.00083;1.052654
D:\IMG\robocam_2018_09_19_18_49_52_295.jpg;15;0;0;1.426909;107.4594;91.36639;359.952;41.29086;0.9803289
D:\IMG\robocam_2018_09_19_18_49_52_378.jpg;15;0;0;1.416931;107.5351;91.44871;359.9199;43.12066;0.9642342
D:\IMG\robocam_2018_09_19_18_49_52_460.jpg;15;0;0;1.409082;107.608;91.53291;359.8958;44.93395;0.9664134
D:\IMG\robocam_2018_09_19_18_49_52_546.jpg;15;0;0;1.401237;107.6782;91.61912;359.9009;46.73365;0.9688612
D:\IMG\robocam_2018_09_19_18_49_52_632.jpg;11.17556;0;0;1.392618;107.7475;91.70587;359.9161;48.17422;0.9370936
D:\IMG\robocam_2018_09_19_18_49_52_721.jpg;7.306335;0;0;1.387833;107.8335;91.81382;359.9171;49.38223;0.8497721
D:\IMG\robocam_2018_09_19_18_49_52_807.jpg;3.299154;0;0;1.381484;107.9028;91.89901;359.9008;49.8703;0.7290288
D:\IMG\robocam_2018_09_19_18_49_52_897.jpg;0;0;0;1.375827;107.9904;92.00346;359.8614;49.94125;0.5157473
D:\IMG\robocam_2018_09_19_18_49_52_984.jpg;0;0;0;1.367727;108.0601;92.08649;359.8239;49.94254;0.3447904
D:\IMG\robocam_2018_09_19_18_49_53_080.jpg;0;0;0;1.361574;108.1467;92.18977;359.775;49.94275;0.1430842
D:\IMG\robocam_2018_09_19_18_49_53_165.jpg;0;0;0;1.353834;108.2156;92.272;359.737;49.94276;-0.00300893
D:\IMG\robocam_2018_09_19_18_49_53_263.jpg;0;0;0;1.347618;108.3014;92.37434;359.6941;49.94268;359.8392
D:\IMG\robocam_2018_09_19_18_49_53_352.jpg;0;0.290528;0;1.339842;108.3706;92.45718;359.7086;49.94713;359.749
D:\IMG\robocam_2018_09_19_18_49_53_439.jpg;0;0.5578033;0;1.351249;108.4603;92.56439;359.851;49.95044;359.6718
D:\IMG\robocam_2018_09_19_18_49_53_535.jpg;0;0.8143969;0;1.388464;108.555;92.67741;0.1459457;49.95164;359.6216
D:\IMG\robocam_2018_09_19_18_49_53_623.jpg;0;1;0;1.44695;108.6342;92.77275;0.4449784;49.96825;359.6504
D:\IMG\robocam_2018_09_19_18_49_53_712.jpg;0;1;0;1.506718;108.7172;92.8724;0.7927729;49.98362;359.7185
D:\IMG\robocam_2018_09_19_18_49_53_800.jpg;0;1;0;1.567116;108.8245;93.00244;1.216625;50.02542;359.8922
D:\IMG\robocam_2018_09_19_18_49_53_889.jpg;0;1;0;1.641651;108.9129;93.10702;1.350104;49.99436;0.005697479
D:\IMG\robocam_2018_09_19_18_49_53_976.jpg;0;1;0;1.70645;109.0259;93.23944;1.250463;49.98343;-0.0004191959
D:\IMG\robocam_2018_09_19_18_49_54_061.jpg;0;1;0;1.789224;109.1204;93.35088;1.245173;49.96729;-0.0005602345
D:\IMG\robocam_2018_09_19_18_49_54_151.jpg;0;1;0;1.848267;109.2184;93.46661;1.292754;49.95042;-0.001093829
D:\IMG\robocam_2018_09_19_18_49_54_242.jpg;0;1;0;1.906445;109.3448;93.61572;1.299604;49.93112;-0.001138026
D:\IMG\robocam_2018_09_19_18_49_54_327.jpg;0;1;0;1.982866;109.4494;93.739;1.294026;49.9129;-0.001129777
D:\IMG\robocam_2018_09_19_18_49_54_411.jpg;0;1;0;2.043151;109.5572;93.86608;1.304547;49.89796;-0.00117894
D:\IMG\robocam_2018_09_19_18_49_54_499.jpg;0;1;0;2.102313;109.6963;94.02982;1.306707;49.87954;-0.00117798
D:\IMG\robocam_2018_09_19_18_49_54_580.jpg;0;1;0;2.176527;109.8111;94.16489;1.312889;49.86564;-0.001229864
D:\IMG\robocam_2018_09_19_18_49_54_672.jpg;0;1;0;2.234629;109.9289;94.3035;1.3189;49.8491;-0.00124708
D:\IMG\robocam_2018_09_19_18_49_54_758.jpg;0;1;0;2.293816;110.0805;94.48168;1.322277;49.8302;-0.001260212
D:\IMG\robocam_2018_09_19_18_49_54_843.jpg;0;1;0;2.366745;110.2053;94.62823;1.329831;49.81511;-0.001296244
D:\IMG\robocam_2018_09_19_18_49_54_924.jpg;0;1;0;2.424571;110.333;94.77814;1.328001;49.79959;-0.001274012
D:\IMG\robocam_2018_09_19_18_49_55_013.jpg;0;1;0;2.482426;110.4638;94.93161;1.332447;49.7838;-0.001310256
D:\IMG\robocam_2018_09_19_18_49_55_100.jpg;0;1;0;2.539707;110.6315;95.12835;1.342326;49.76453;-0.001356405
D:\IMG\robocam_2018_09_19_18_49_55_183.jpg;0;1;0;2.611004;110.7691;95.28957;1.349679;49.74955;-0.001386646
D:\IMG\robocam_2018_09_19_18_49_55_269.jpg;0;1;0;2.667816;110.9096;95.45409;1.345847;49.7346;-0.0009277742
D:\IMG\robocam_2018_09_19_18_49_55_349.jpg;0;1;0;2.725114;111.0532;95.6221;1.352019;49.71526;-0.001395268
D:\IMG\robocam_2018_09_19_18_49_55_430.jpg;-3.608182;0.7594545;0;2.780604;111.201;95.79099;1.340914;49.23631;0.0005996733
D:\IMG\robocam_2018_09_19_18_49_55_512.jpg;-7.247633;0.5168244;0;2.820973;111.3538;95.9575;1.291687;48.08964;359.9695
D:\IMG\robocam_2018_09_19_18_49_55_589.jpg;-10.88632;0.2742454;0;2.84217;111.5121;96.11715;1.129107;46.24016;359.82
D:\IMG\robocam_2018_09_19_18_49_55_667.jpg;-14.37842;0.04143858;0;2.845742;111.6754;96.26633;0.8057546;43.74268;359.5351
D:\IMG\robocam_2018_09_19_18_49_55_756.jpg;-15;0;0;2.830748;111.885;96.43748;0.1913371;40.36594;359.0287
D:\IMG\robocam_2018_09_19_18_49_55_835.jpg;-10.99387;0;0;2.808642;112.0555;96.56883;359.7202;38.22992;358.6963
D:\IMG\robocam_2018_09_19_18_49_55_921.jpg;-7.443189;0;0;2.796782;112.2302;96.70314;359.6049;36.80753;358.7705
